full_name, description, language, topics, license_name, stargazers_count, forks_count, homepage, html_url, open_issues_count, name, owner_name, owner_avatar_url, created_at, starred_at, updated_at, pushed_at, fork, archived
"k3vinlusec/Bluefrag_CVE-2020-0022","This is a RCE bluetooth vulnerability on Android 8.0 and 9.0","Python","",,11,7,,"https://github.com/k3vinlusec/Bluefrag_CVE-2020-0022",2,"Bluefrag_CVE-2020-0022","k3vinlusec","https://avatars.githubusercontent.com/u/19988136?v=4","2020-07-01T00:23:33Z","2023-07-05T07:40:36Z","2023-07-05T07:40:37Z","2023-05-23T04:46:45Z",false,false
"vrolife/mypower",,"C++","","GNU General Public License v3.0",36,18,,"https://github.com/vrolife/mypower",2,"mypower","vrolife","https://avatars.githubusercontent.com/u/107757090?v=4","2023-05-15T04:45:02Z","2023-07-05T07:21:36Z","2023-07-24T19:58:25Z","2023-06-02T03:29:50Z",false,false
"Decurity/abi-decompiler","Ethereum (EVM) smart contracts reverse engineering helper utility","C","",,207,33,"https://decurity.io","https://github.com/Decurity/abi-decompiler",1,"abi-decompiler","Decurity","https://avatars.githubusercontent.com/u/106394404?v=4","2018-06-26T20:02:04Z","2023-07-05T07:14:34Z","2023-07-05T14:41:22Z","2022-06-15T19:48:27Z",false,false
"StarCrossPortal/swallow","代码审计自动化系统,底层架构为蜻蜓编排系统,墨菲SCA,fortify,SemGrep,hema","PHP","","Other",103,19,"","https://github.com/StarCrossPortal/swallow",2,"swallow","StarCrossPortal","https://avatars.githubusercontent.com/u/82084508?v=4","2023-03-23T09:30:16Z","2023-07-05T07:11:22Z","2023-08-08T01:10:36Z","2023-07-25T11:40:49Z",false,false
"ymcui/Chinese-LLaMA-Alpaca","中文LLaMA&Alpaca大语言模型+本地CPU/GPU训练部署 (Chinese LLaMA & Alpaca LLMs)","Python","alpaca, alpaca-2, large-language-models, llama, llama-2, llm, lora, nlp, plm, pre-trained-language-models, quantization","Apache License 2.0",13852,1429,"https://github.com/ymcui/Chinese-LLaMA-Alpaca/wiki","https://github.com/ymcui/Chinese-LLaMA-Alpaca",20,"Chinese-LLaMA-Alpaca","ymcui","https://avatars.githubusercontent.com/u/16095339?v=4","2023-03-15T11:09:39Z","2023-07-05T07:11:18Z","2023-08-12T03:52:00Z","2023-08-11T02:46:04Z",false,false
"florylsk/RecycledInjector","Native Syscalls Shellcode Injector","C","hacking, pentesting, redteam",,186,30,"","https://github.com/florylsk/RecycledInjector",0,"RecycledInjector","florylsk","https://avatars.githubusercontent.com/u/46110263?v=4","2023-06-23T16:14:56Z","2023-07-05T07:10:45Z","2023-08-09T16:10:05Z","2023-07-02T11:04:28Z",false,false
"hiyouga/LLaMA-Efficient-Tuning","Easy-to-use fine-tuning framework using PEFT (PT+SFT+RLHF with QLoRA) (LLaMA-2, BLOOM, Falcon, Baichuan, Qwen, ChatGLM2)","Python","baichuan-7b, bloom, dpo, falcon, fine-tuning, language-model, llama, llama2, llm, peft, pre-training, qlora, quantization, qwen-7b, reinforcement-learning, rlhf, transformers","Apache License 2.0",2575,686,"","https://github.com/hiyouga/LLaMA-Efficient-Tuning",23,"LLaMA-Efficient-Tuning","hiyouga","https://avatars.githubusercontent.com/u/16256802?v=4","2023-05-28T10:09:12Z","2023-07-05T07:10:40Z","2023-08-12T03:16:24Z","2023-08-11T16:25:47Z",false,false
"Nyr/wireguard-install","WireGuard road warrior installer for Ubuntu, Debian, AlmaLinux, Rocky Linux, CentOS and Fedora","Shell","almalinux, bash, centos, debian, fedora, rockylinux, shell, ubuntu, vpn, wireguard","MIT License",3067,675,"","https://github.com/Nyr/wireguard-install",21,"wireguard-install","Nyr","https://avatars.githubusercontent.com/u/739489?v=4","2020-04-30T18:23:51Z","2023-07-05T07:10:37Z","2023-08-12T02:56:44Z","2023-07-05T07:52:22Z",false,false
"Spuckwaffel/UEDumper","The all in one Unreal Engine Dumper and editor for UE 4.19 - 5.2","C++","dumper, unreal-engine, unreal-engine-4, unreal-engine-5","MIT License",103,31,"","https://github.com/Spuckwaffel/UEDumper",0,"UEDumper","Spuckwaffel","https://avatars.githubusercontent.com/u/68144475?v=4","2023-06-04T00:28:12Z","2023-07-05T07:10:28Z","2023-08-11T08:31:22Z","2023-08-11T01:02:16Z",false,false
"rootkiter/IDA_Go_Recovery","IDA7.6/IDA7.7 + Python3 下，Go 可执行文件的符号恢复脚本。已适配 Go1.2/Go1.16/Go1.18/Go1.20","Python","",,18,5,"","https://github.com/rootkiter/IDA_Go_Recovery",0,"IDA_Go_Recovery","rootkiter","https://avatars.githubusercontent.com/u/6734184?v=4","2022-07-27T08:49:43Z","2023-07-05T07:10:22Z","2023-07-05T07:10:23Z","2023-02-23T08:04:30Z",false,false
"vrolife/qiling-il2cpp-dump",,"C","","GNU General Public License v3.0",37,17,,"https://github.com/vrolife/qiling-il2cpp-dump",0,"qiling-il2cpp-dump","vrolife","https://avatars.githubusercontent.com/u/107757090?v=4","2023-05-18T15:10:12Z","2023-07-05T07:10:05Z","2023-08-08T08:40:27Z","2023-05-18T15:17:26Z",false,false
"timwhitez/Doge-Gabh","GetProcAddressByHash/remap/full dll unhooking/Tartaru's Gate/Spoofing Gate/universal/Perun's Fart/Spoofing-Gate/EGG/RecycledGate/syswhisper/RefleXXion golang implementation","Go","","MIT License",244,54,"","https://github.com/timwhitez/Doge-Gabh",2,"Doge-Gabh","timwhitez","https://avatars.githubusercontent.com/u/36320909?v=4","2021-09-14T04:18:55Z","2023-07-05T05:16:54Z","2023-08-10T02:56:23Z","2023-08-03T02:46:38Z",false,false
"DVKunion/SeaMoon","月海 (Sea Moon) 是一款 FaaS/BaaS 实现的 Serverless 代理/云渗透工具，致力于开启云原生的渗透模式。","Go","cloudnative, golang, network-tools, pentest, proxy, security, serverless","MIT License",140,31,"https://seamoon.dvkunion.cn","https://github.com/DVKunion/SeaMoon",1,"SeaMoon","DVKunion","https://avatars.githubusercontent.com/u/42199853?v=4","2022-08-29T06:57:18Z","2023-07-05T05:16:11Z","2023-08-02T09:11:23Z","2023-07-26T07:58:08Z",false,false
"theSecHunter/Hades-Windows","Hades HIDS/HIPS for Windows","C++","","Apache License 2.0",173,67,"","https://github.com/theSecHunter/Hades-Windows",0,"Hades-Windows","theSecHunter","https://avatars.githubusercontent.com/u/91270820?v=4","2021-09-24T08:55:51Z","2023-07-05T05:15:34Z","2023-08-10T06:54:35Z","2023-08-10T12:46:36Z",false,false
"Phuong39/ENScanGo","基于API的一款企业信息查询工具，快速获取企业的信息，省去收集的麻烦过程",,"",,28,11,"","https://github.com/Phuong39/ENScanGo",0,"ENScanGo","Phuong39","https://avatars.githubusercontent.com/u/84000895?v=4","2021-11-08T04:08:25Z","2023-07-05T05:14:57Z","2023-08-08T02:54:32Z","2021-11-08T03:36:54Z",false,false
"momosecurity/FindSomething","基于chrome、firefox插件的被动式信息泄漏检测工具","JavaScript","","GNU General Public License v3.0",695,105,"","https://github.com/momosecurity/FindSomething",2,"FindSomething","momosecurity","https://avatars.githubusercontent.com/u/50483098?v=4","2020-09-12T08:47:31Z","2023-07-05T05:13:09Z","2023-08-11T01:34:32Z","2023-07-10T13:34:06Z",false,false
"YoavLevi/IAT-Tracer","An automation plugin for Tiny-Tracer framework to trace functions directly out of the executable's import table. ","Python","",,46,4,"","https://github.com/YoavLevi/IAT-Tracer",0,"IAT-Tracer","YoavLevi","https://avatars.githubusercontent.com/u/60928603?v=4","2023-06-30T13:05:33Z","2023-07-03T07:26:36Z","2023-07-28T10:13:46Z","2023-07-01T09:19:19Z",false,false
"GreyDGL/PentestGPT","A GPT-empowered penetration testing tool","Python","large-language-models, llm, penetration-testing, python","MIT License",4762,515,"","https://github.com/GreyDGL/PentestGPT",21,"PentestGPT","GreyDGL","https://avatars.githubusercontent.com/u/78410652?v=4","2023-02-27T06:01:53Z","2023-07-03T07:26:24Z","2023-08-12T04:18:27Z","2023-08-07T19:31:01Z",false,false
"xforcered/BOFMask",,,"",,101,13,,"https://github.com/xforcered/BOFMask",0,"BOFMask","xforcered","https://avatars.githubusercontent.com/u/51247031?v=4","2023-06-28T14:40:25Z","2023-07-03T07:26:18Z","2023-08-10T04:00:23Z","2023-06-28T14:35:32Z",true,false
"TheD1rkMtr/TakeMyRDP","A keystroke logger targeting the Remote Desktop Protocol (RDP) related processes, It utilizes a low-level keyboard input hook, allowing it to record keystrokes in certain contexts (like in mstsc.exe and CredentialUIBroker.exe)","C++","","MIT License",249,53,,"https://github.com/TheD1rkMtr/TakeMyRDP",0,"TakeMyRDP","TheD1rkMtr","https://avatars.githubusercontent.com/u/123980007?v=4","2023-07-02T17:25:33Z","2023-07-03T07:26:12Z","2023-08-10T22:18:07Z","2023-08-02T02:23:28Z",false,false
"fortra/CVE-2023-28252",,"C","","Apache License 2.0",117,28,,"https://github.com/fortra/CVE-2023-28252",0,"CVE-2023-28252","fortra","https://avatars.githubusercontent.com/u/117669217?v=4","2023-06-27T12:22:05Z","2023-07-03T07:25:42Z","2023-08-07T08:54:29Z","2023-07-10T16:57:44Z",false,false
"RapidDNS/Afuzz","Afuzz is an automated web path fuzzing tool for the Bug Bounty projects.","Python","bugbounty, fuzzing, pentest, pentest-tool, pentesting, security-tools",,213,17,"","https://github.com/RapidDNS/Afuzz",1,"Afuzz","RapidDNS","https://avatars.githubusercontent.com/u/63196631?v=4","2023-03-04T05:03:10Z","2023-07-03T03:33:45Z","2023-08-03T16:35:15Z","2023-07-15T05:47:42Z",false,false
"testxxxzzz/geacon_pro","重构了Cobaltstrike Beacon，行为对国内主流杀软免杀，支持4.1以上的版本。 A cobaltstrike Beacon bypass anti-virus, supports 4.1+ version.",,"",,147,211,"","https://github.com/testxxxzzz/geacon_pro",0,"geacon_pro","testxxxzzz","https://avatars.githubusercontent.com/u/88373776?v=4","2022-10-28T03:31:11Z","2023-06-30T12:46:37Z","2023-08-12T00:13:34Z","2022-10-27T14:15:19Z",false,false
"robiot/rustcat","Rustcat(rcat) - The modern Port listener and Reverse shell","Rust","easy-to-use, hacktoberfest, linux, netcat, network, pentest-tool, port-listener, rcat, rust, rustcat, windows","GNU General Public License v3.0",562,54,"https://git.io/rustcat","https://github.com/robiot/rustcat",3,"rustcat","robiot","https://avatars.githubusercontent.com/u/68228472?v=4","2021-06-04T17:03:47Z","2023-06-30T12:45:41Z","2023-08-07T07:56:27Z","2022-10-23T07:01:11Z",false,false
"werdhaihai/AtlasReaper","A command-line tool for reconnaissance and targeted write operations on Confluence and Jira instances. ","C#","","GNU General Public License v3.0",170,19,,"https://github.com/werdhaihai/AtlasReaper",0,"AtlasReaper","werdhaihai","https://avatars.githubusercontent.com/u/56405955?v=4","2023-06-24T00:18:41Z","2023-06-30T12:45:28Z","2023-08-10T16:53:41Z","2023-06-28T18:58:10Z",false,false
"TryGOTry/CobaltStrike_Cat_4.5","猫猫Cs:基于Cobalt Strike[4.5]二开 (原dogcs二开移植)",,"catcs, cobaltstrike, dogcs",,537,73,"","https://github.com/TryGOTry/CobaltStrike_Cat_4.5",2,"CobaltStrike_Cat_4.5","TryGOTry","https://avatars.githubusercontent.com/u/50934786?v=4","2023-01-13T02:49:45Z","2023-06-30T10:04:51Z","2023-08-11T05:51:11Z","2023-04-25T01:25:07Z",false,false
"Cobalt-Strike/community_kit","Cobalt Strike is a post-exploitation framework designed to be extended and customized by the user community. Several excellent tools and scripts have been written and published, but they can be challenging to locate. Community Kit is a central repository of extensions written by the user community to extend the capabilities of Cobalt Strike. The Cobalt Strike team acts as the curator and provides this kit to showcase this fantastic work.","HTML","","Apache License 2.0",213,12,"","https://github.com/Cobalt-Strike/community_kit",1,"community_kit","Cobalt-Strike","https://avatars.githubusercontent.com/u/84079569?v=4","2021-08-02T13:59:17Z","2023-06-30T09:27:40Z","2023-08-11T23:48:50Z","2023-08-12T01:07:56Z",false,false
"droe/hopper-scripts","Scripts for Hopper Disassembler","Python","hopper-disassembler, reverse-engineering","Other",38,7,,"https://github.com/droe/hopper-scripts",0,"hopper-scripts","droe","https://avatars.githubusercontent.com/u/749226?v=4","2018-12-01T17:50:11Z","2023-06-30T07:49:32Z","2023-07-16T15:01:44Z","2023-05-13T16:37:31Z",false,false
"cseroad/Exp-Tools","一款集成各种exp的实用性工具",,"",,496,32,"","https://github.com/cseroad/Exp-Tools",8,"Exp-Tools","cseroad","https://avatars.githubusercontent.com/u/59865739?v=4","2023-03-09T01:10:10Z","2023-06-30T06:21:58Z","2023-08-12T05:01:18Z","2023-06-28T09:34:35Z",false,false
"teamssix/awesome-cloud-security","awesome cloud security 收集一些国内外不错的云安全资源，该项目主要面向国内的安全人员",,"awesome, awesome-cloud-security, cloud-native, cloud-security, cloudnative, cloudsecurity, cybersecurity, docker, kubernetes, tools","Apache License 2.0",1226,159,"https://wiki.teamssix.com/CloudSecurityResources/","https://github.com/teamssix/awesome-cloud-security",0,"awesome-cloud-security","teamssix","https://avatars.githubusercontent.com/u/49087564?v=4","2022-04-14T13:38:22Z","2023-06-30T06:21:29Z","2023-08-12T01:48:13Z","2023-07-15T08:58:58Z",false,false
"ShangRui-hash/arp-spoofing-go","基于go语言实现的ARP欺骗工具，支持局域网内主机扫描，ARP投毒、中间人攻击、敏感信息嗅探，HTTP报文嗅探","Go","",,74,26,"","https://github.com/ShangRui-hash/arp-spoofing-go",1,"arp-spoofing-go","ShangRui-hash","https://avatars.githubusercontent.com/u/51815082?v=4","2021-09-29T22:46:52Z","2023-06-30T06:21:15Z","2023-08-04T05:22:33Z","2023-06-16T11:17:33Z",false,false
"c0olw/NacosRce","Nacos JRaft Hessian 反序列化 RCE 加载字节码 注入内存马 不出网利用","Java","",,436,60,"","https://github.com/c0olw/NacosRce",5,"NacosRce","c0olw","https://avatars.githubusercontent.com/u/32671990?v=4","2023-06-29T01:35:42Z","2023-06-30T06:20:49Z","2023-08-12T01:50:12Z","2023-07-07T09:03:48Z",false,false
"SRI-CSL/yices2","The Yices SMT Solver","SMT","sat-solver, satisfiability, satisfiability-modulo-theories, smt-solver, theorem-prover","GNU General Public License v3.0",336,40,"https://yices.csl.sri.com/","https://github.com/SRI-CSL/yices2",45,"yices2","SRI-CSL","https://avatars.githubusercontent.com/u/8029212?v=4","2014-11-10T21:47:40Z","2023-06-30T06:19:20Z","2023-08-09T19:28:42Z","2023-08-08T20:11:19Z",false,false
"CodeXTF2/ScreenshotBOF","An alternative screenshot capability for Cobalt Strike that uses WinAPI and does not perform a fork & run. Screenshot downloaded in memory.","C","bof, cna, cobalt-strike, screenshot",,319,50,"","https://github.com/CodeXTF2/ScreenshotBOF",1,"ScreenshotBOF","CodeXTF2","https://avatars.githubusercontent.com/u/29991665?v=4","2022-10-23T08:58:22Z","2023-06-30T06:19:14Z","2023-08-06T19:42:08Z","2023-05-25T16:04:40Z",false,false
"XaFF-XaFF/Kernel-Process-Hollowing","Windows x64 kernel mode rootkit process hollowing POC. ","C++","kernel-driver, processhollowing, rootkit, windows, x64","MIT License",154,21,"","https://github.com/XaFF-XaFF/Kernel-Process-Hollowing",0,"Kernel-Process-Hollowing","XaFF-XaFF","https://avatars.githubusercontent.com/u/40365455?v=4","2023-06-28T19:54:42Z","2023-06-30T06:19:07Z","2023-08-08T23:37:20Z","2023-06-30T12:17:58Z",false,false
"OpenBMB/ToolBench","An open platform for training, serving, and evaluating large language model for tool learning.","Python","","Apache License 2.0",2318,133,"https://openbmb.github.io/ToolBench/","https://github.com/OpenBMB/ToolBench",12,"ToolBench","OpenBMB","https://avatars.githubusercontent.com/u/89920203?v=4","2023-05-28T03:46:17Z","2023-06-30T03:52:01Z","2023-08-12T04:59:10Z","2023-08-09T00:17:08Z",false,false
"UltimateSec/HackBot","HackBot is an AI driven security scanning tool that combines OpenAI and Projectdiscovery. (HackBot是一款人工智能驱动的安全扫描工具，结合了OpenAI和Projectdiscovery)","Go","",,31,1,"","https://github.com/UltimateSec/HackBot",0,"HackBot","UltimateSec","https://avatars.githubusercontent.com/u/135742202?v=4","2023-06-28T20:10:42Z","2023-06-29T06:55:10Z","2023-08-03T10:10:11Z","2023-06-30T02:13:52Z",false,false
"DDizzzy79/Ret2GPT","Ret2GPT: Advanced AI-powered binary analysis tool leveraging OpenAI's LangChain technology, revolutionizing CTF Pwners' experience in binary file interpretation and vulnerability detection.","Python","ctf, ctf-tools, langchain, machine-learning, openai, pwn","MIT License",131,12,"","https://github.com/DDizzzy79/Ret2GPT",1,"Ret2GPT","DDizzzy79","https://avatars.githubusercontent.com/u/72267897?v=4","2023-04-15T10:50:48Z","2023-06-28T12:16:31Z","2023-08-11T09:24:29Z","2023-06-10T04:44:30Z",false,false
"andybalholm/c2go","C to Go translation tool","Go","","BSD 3-Clause ""New"" or ""Revised"" License",128,4,"","https://github.com/andybalholm/c2go",0,"c2go","andybalholm","https://avatars.githubusercontent.com/u/868908?v=4","2017-04-25T13:58:12Z","2023-06-28T12:02:23Z","2023-08-11T09:30:02Z","2023-02-07T23:18:59Z",true,false
"DavidBuchanan314/stelf-loader","A stealthy ELF loader - no files, no execve, no RWX","C","","MIT License",64,2,"","https://github.com/DavidBuchanan314/stelf-loader",0,"stelf-loader","DavidBuchanan314","https://avatars.githubusercontent.com/u/13520633?v=4","2022-08-26T17:43:01Z","2023-06-28T12:01:55Z","2023-07-20T00:13:55Z","2023-06-30T15:15:27Z",false,false
"vavkamil/awesome-bugbounty-tools","A curated list of various bug bounty tools",,"awesome, awesome-list, bugbounty, security-tools, tools, web-security","Creative Commons Zero v1.0 Universal",2850,484,"","https://github.com/vavkamil/awesome-bugbounty-tools",4,"awesome-bugbounty-tools","vavkamil","https://avatars.githubusercontent.com/u/47953210?v=4","2021-01-11T19:31:28Z","2023-06-28T12:01:32Z","2023-08-11T22:01:01Z","2023-05-09T20:47:47Z",false,false
"vi3t1/qq-tim-elevation","CVE-2023-34312","Rust","",,402,75,"","https://github.com/vi3t1/qq-tim-elevation",1,"qq-tim-elevation","vi3t1","https://avatars.githubusercontent.com/u/105091408?v=4","2023-05-27T12:44:42Z","2023-06-28T08:36:56Z","2023-08-10T08:50:52Z","2023-05-27T12:45:10Z",false,false
"L-JINBIN/ApkSignatureKillerEx","新版MT去签及对抗","C","",,226,62,"","https://github.com/L-JINBIN/ApkSignatureKillerEx",3,"ApkSignatureKillerEx","L-JINBIN","https://avatars.githubusercontent.com/u/26928861?v=4","2022-12-25T08:49:14Z","2023-06-28T06:14:33Z","2023-08-10T13:15:18Z","2023-01-25T09:37:07Z",false,false
"codeskyblue/gohttpserver","The best HTTP Static File Server, write with golang+vue","JavaScript","go, httpserver","MIT License",2178,474,"https://gohttpserver.herokuapp.com/","https://github.com/codeskyblue/gohttpserver",95,"gohttpserver","codeskyblue","https://avatars.githubusercontent.com/u/3281689?v=4","2016-07-21T08:41:09Z","2023-06-27T07:53:30Z","2023-08-11T06:58:25Z","2023-03-13T09:21:19Z",false,false
"oferchen/POC-CVE-2023-32233","Use-After-Free in Netfilter nf_tables when processing batch requests CVE-2023-32233","C","",,38,6,"","https://github.com/oferchen/POC-CVE-2023-32233",0,"POC-CVE-2023-32233","oferchen","https://avatars.githubusercontent.com/u/2673257?v=4","2023-05-16T05:58:03Z","2023-06-27T07:53:00Z","2023-08-07T10:00:13Z","2023-06-20T06:58:04Z",false,false
"cyberark/rdpfuzz","Tools for fuzzing RDP","C","","Apache License 2.0",113,23,,"https://github.com/cyberark/rdpfuzz",0,"rdpfuzz","cyberark","https://avatars.githubusercontent.com/u/30869256?v=4","2021-08-25T16:04:12Z","2023-06-27T07:52:51Z","2023-08-08T01:11:25Z","2021-08-30T13:11:30Z",false,false
"robotshell/magicRecon","MagicRecon is a powerful shell script to maximize the recon and data collection process of an objective and finding common vulnerabilities, all this saving the results obtained in an organized way in directories and with various formats.","Shell","bash-script, bug, bugbounty, bugbounty-tool, bugbountytricks, infosec, nuclei, scanner, sql-injection, subdomain, subdomains-enumeration, tool, vulnerability-scanners, xss-vulnerability","GNU General Public License v3.0",627,105,"","https://github.com/robotshell/magicRecon",4,"magicRecon","robotshell","https://avatars.githubusercontent.com/u/51330800?v=4","2019-11-20T16:17:16Z","2023-06-27T07:52:49Z","2023-08-10T12:06:26Z","2023-04-02T04:25:47Z",false,false
"wzqcongcong/macSubstrate","Substrate for macOS","Objective-C","injection, macos, plugin, substrate","MIT License",404,35,,"https://github.com/wzqcongcong/macSubstrate",3,"macSubstrate","wzqcongcong","https://avatars.githubusercontent.com/u/4255686?v=4","2017-09-30T11:43:43Z","2023-06-27T07:52:39Z","2023-07-27T08:43:30Z","2021-03-30T03:05:08Z",false,false
"superBiuBiuMan/wechatMiniAppReverse","微信小程序解密并反编译","JavaScript","",,193,57,,"https://github.com/superBiuBiuMan/wechatMiniAppReverse",3,"wechatMiniAppReverse","superBiuBiuMan","https://avatars.githubusercontent.com/u/54466523?v=4","2022-07-25T01:42:50Z","2023-06-27T07:52:33Z","2023-08-10T12:46:59Z","2023-03-27T10:56:52Z",false,false
"Wechat-ggGitHub/Awesome-GitHub-Repo","收集整理 GitHub 上高质量、有趣的开源项目。",,"","Creative Commons Zero v1.0 Universal",11315,1325,,"https://github.com/Wechat-ggGitHub/Awesome-GitHub-Repo",93,"Awesome-GitHub-Repo","Wechat-ggGitHub","https://avatars.githubusercontent.com/u/68787183?v=4","2021-12-27T06:28:51Z","2023-06-27T07:52:29Z","2023-08-12T04:07:32Z","2023-04-04T06:32:31Z",false,false
"IchildYu/IDAGolangHelper",,"Python","",,8,0,"","https://github.com/IchildYu/IDAGolangHelper",0,"IDAGolangHelper","IchildYu","https://avatars.githubusercontent.com/u/54837947?v=4","2023-06-21T13:23:58Z","2023-06-27T07:52:26Z","2023-08-01T03:26:31Z","2023-07-03T06:48:14Z",true,false
"WKL-Sec/HiddenDesktop","HVNC for Cobalt Strike","C","","MIT License",893,135,"","https://github.com/WKL-Sec/HiddenDesktop",1,"HiddenDesktop","WKL-Sec","https://avatars.githubusercontent.com/u/97109724?v=4","2023-05-21T00:57:43Z","2023-06-26T17:26:14Z","2023-08-11T17:59:18Z","2023-05-25T21:27:20Z",false,false
"1401199262/RemoteCall",,"C++","",,86,37,,"https://github.com/1401199262/RemoteCall",1,"RemoteCall","1401199262","https://avatars.githubusercontent.com/u/55327538?v=4","2023-04-05T13:05:55Z","2023-06-26T08:52:22Z","2023-08-04T15:53:07Z","2023-05-01T17:16:15Z",false,false
"susMdT/LoudSunRun","Stack Spoofing with Synthetic frames based on the work of namazso, SilentMoonWalk, and VulcanRaven","C","",,53,11,"","https://github.com/susMdT/LoudSunRun",0,"LoudSunRun","susMdT","https://avatars.githubusercontent.com/u/68256613?v=4","2023-06-16T18:02:37Z","2023-06-26T08:49:06Z","2023-07-27T20:05:41Z","2023-07-21T14:21:19Z",false,false
"susMdT/effective-waffle","yet another sleep encryption thing. also used the default github repo name for this one.","C","",,64,12,,"https://github.com/susMdT/effective-waffle",0,"effective-waffle","susMdT","https://avatars.githubusercontent.com/u/68256613?v=4","2023-05-11T06:57:03Z","2023-06-26T08:48:56Z","2023-08-11T13:23:57Z","2023-05-11T22:02:43Z",false,false
"rustymagnet3000/lldb_debugger","Helpful commands when using lldb.","Python","debugger, lldb, lldb-commands, lldb-debugger, lldb-script, objective-c",,102,14,"","https://github.com/rustymagnet3000/lldb_debugger",0,"lldb_debugger","rustymagnet3000","https://avatars.githubusercontent.com/u/5367141?v=4","2019-04-18T05:28:48Z","2023-06-26T08:48:34Z","2023-08-01T13:17:58Z","2022-01-18T10:56:04Z",false,false
"SunWeb3Sec/DeFiVulnLabs","To learn common smart contract vulnerabilities using Foundry!","Solidity","defi, ethereum, foundry, solidity, web3",,1212,217,"","https://github.com/SunWeb3Sec/DeFiVulnLabs",1,"DeFiVulnLabs","SunWeb3Sec","https://avatars.githubusercontent.com/u/107249780?v=4","2022-07-01T10:45:52Z","2023-06-26T08:48:25Z","2023-08-11T07:39:23Z","2023-07-31T02:27:21Z",false,false
"six2dez/reconftw","reconFTW is a tool designed to perform automated recon on a target domain by running the best set of tools to perform scanning and finding out vulnerabilities","HTML","bugbounty, dns, fuzzing, hacking, hacktoberfest, infosec, nuclei, osint, penetration-testing, pentest, pentest-tool, pentesting, raspberry, recon, reconnaissance, scanner, security, security-tools, subdomain, vulnerabilities","MIT License",4583,782,"","https://github.com/six2dez/reconftw",28,"reconftw","six2dez","https://avatars.githubusercontent.com/u/24670991?v=4","2020-12-30T23:52:52Z","2023-06-26T08:48:05Z","2023-08-12T04:26:56Z","2023-08-11T07:59:40Z",false,false
"musana/fuzzuli","fuzzuli is a url fuzzing tool that aims to find critical backup files by creating a dynamic wordlist based on the domain.","Go","","MIT License",400,42,"https://fuzzuli.musana.net","https://github.com/musana/fuzzuli",3,"fuzzuli","musana","https://avatars.githubusercontent.com/u/11095899?v=4","2022-06-22T12:45:04Z","2023-06-26T08:47:58Z","2023-08-04T09:11:52Z","2023-07-16T20:27:01Z",false,false
"chainreactors/urlfounder","Fast passive URL enumeration tool.","Go","","MIT License",44,2,"","https://github.com/chainreactors/urlfounder",0,"urlfounder","chainreactors","https://avatars.githubusercontent.com/u/102843259?v=4","2023-04-04T10:50:31Z","2023-06-26T08:47:54Z","2023-07-24T20:28:40Z","2023-06-06T12:51:11Z",false,false
"assetnote/surf","Escalate your SSRF vulnerabilities on Modern Cloud Environments. `surf` allows you to filter a list of hosts, returning a list of viable SSRF candidates.","Go","",,357,20,,"https://github.com/assetnote/surf",0,"surf","assetnote","https://avatars.githubusercontent.com/u/35264812?v=4","2023-06-17T06:16:26Z","2023-06-25T14:30:51Z","2023-08-11T07:09:37Z","2023-06-17T07:50:03Z",false,false
"reqable/reqable-app","Reqable issue track repo",,"android-app, capture, debugging-tool, desktop-app, flutter, http, http2, http3, https, ios-app, quic, rest-api",,537,26,"https://reqable.com","https://github.com/reqable/reqable-app",56,"reqable-app","reqable","https://avatars.githubusercontent.com/u/119648815?v=4","2022-12-02T05:05:35Z","2023-06-25T13:38:51Z","2023-08-11T14:37:37Z","2023-08-11T04:10:35Z",false,false
"UltimateSec/hw-iot-c2","一款利用某云厂商的物联网平台作为c2的框架","Go","",,19,1,,"https://github.com/UltimateSec/hw-iot-c2",0,"hw-iot-c2","UltimateSec","https://avatars.githubusercontent.com/u/135742202?v=4","2023-06-18T15:07:39Z","2023-06-25T12:44:21Z","2023-07-24T01:05:10Z","2023-06-18T16:00:30Z",false,false
"frkngksl/NimExec","Fileless Command Execution for Lateral Movement in Nim","Nim","","MIT License",301,32,"","https://github.com/frkngksl/NimExec",0,"NimExec","frkngksl","https://avatars.githubusercontent.com/u/26549173?v=4","2023-04-21T19:46:53Z","2023-06-25T11:54:09Z","2023-08-11T22:50:12Z","2023-06-23T11:07:20Z",false,false
"Ryze-T/cdb-wds","利用白名单文件 cdb.exe 执行 shellcode","Python","",,211,47,,"https://github.com/Ryze-T/cdb-wds",7,"cdb-wds","Ryze-T","https://avatars.githubusercontent.com/u/76553352?v=4","2022-03-23T06:14:11Z","2023-06-25T11:54:01Z","2023-08-04T05:23:08Z","2022-06-29T08:24:44Z",false,false
"f1zm0/acheron","indirect syscalls for AV/EDR evasion in Go assembly","Assembly","adversary-emulation, assembly, av-evasion, edr-bypass, edr-evasion, evasion, go, golang, malware-research, offensive-security, red-team, red-teaming","MIT License",231,28,"","https://github.com/f1zm0/acheron",3,"acheron","f1zm0","https://avatars.githubusercontent.com/u/79873476?v=4","2023-04-07T10:40:33Z","2023-06-25T11:53:57Z","2023-08-07T03:29:57Z","2023-06-13T19:20:33Z",false,false
